Write a read,Read Write
Read oly,Read
Cant and read,Illiterate
Read an Write,Read Write
Read or Write,Read Write
Re and writ,Read Write
Canet read or rite,Illiterate
Read and write fair educ,Read Write
Can reade and rite,Read Write
Yes can read or write,Read Write
Reads and rites,Read Write
Write r,Read Write
Reeds and writes,Read Write
Reed wrigt,Read Write
Cannnot read or write,Illiterate
Atending school,Read Write
Cannot read cant write,Illiterate
Cannot read edu,Illiterate
Cannot read nor Write,Illiterate
Neither write or read,Illiterate
Read and writl,Read Write
Cannot re and write,Illiterate
Canot rite,Read
Read cannot w,Read
Not yet at school,Illiterate
Not and read,Illiterate
Ride and write,Read Write
Yes can r and w,Read Write
Write cannot read,Write
Read and wrigs,Read Write
Riding and writing,Read Write
Scoler,Read Write
No cannot rd,Illiterate
Reade a wrte,Read Write
Sholor,Read Write
Nor,Illiterate
Can Do Both,Read Write
Yes can read write,Read Write
Read and wrtee,Read Write
Canot write or read,Illiterate
C read and writ,Read Write
Reed also write,Read Write
Unable read or write,Illiterate
Right and reid,Read Write
Cannont read or write,Illiterate
Cannt read write,Illiterate
Cannot read wri,Illiterate
R R,Read Write
Not read or wright,Illiterate
Conot read or write,Illiterate
Con read and write,Read Write
Can R Write,Read Write
Cannot read inf,Illiterate
Red a rite,Read Write
Read and Wrigt,Read Write
He read write,Read Write
Can read ?,Read
Can reed and wright,Read Write
Don't read or write,Illiterate
Cant reid or rite,Illiterate
Cant read not write,Illiterate
Not able to write,Illiterate
Cannot reat or writ,Illiterate
Can read we,Read Write
Read and writing,Read Write
Scollor,Read Write
Both read and c write,Read Write
Reand write,Read Write
Cant reade,Illiterate
Cannot read nor writ,Illiterate
Can read and write a little,Read Write
Neither read or w,Illiterate
Reade a write,Read Write
Can Read and writes,Read Write
Read scholars,Read Write
Cnot r or w,Illiterate
Cannt red,Illiterate
Read and write all can read,Read Write
He can write,Write
Can read and Write,Read Write
Unable to read,Illiterate
Can read and Rite,Read Write
Can read and can write,Read Write
Read write etc etc,Read Write
Cannot read nor wite,Illiterate
Not not,Illiterate
Read and write neither,Illiterate
Cannot riad or write,Illiterate
Read Both Write,Read Write
Canote read,Illiterate
Can reid and wright,Read Write
C read and not write,Read
Not r not write,Illiterate
Read and write scholers,Read Write
Canot read or right,Illiterate
Cannot read no no,Illiterate
Reat and rite,Read Write
Can read and write w,Read Write
Red right,Read Write
Cann not read,Illiterate
Cannot r or wte,Illiterate
Atending schol,Read Write
Young children,Illiterate
Could not read or write,Illiterate
Neither nor write,Illiterate
Reads-w,Read Write
Read and Wr,Read Write
Neither red or write,Illiterate
Cant read a write,Illiterate
Read and ritt,Read Write
Going School,Read Write
Nor write cannot read,Illiterate
He can read only,Read
Can read canot write,Read
Cant red or wrt,Illiterate
Can read and only,Read
Read Scholars,Read
Red or write,Read Write
No Read,Illiterate
Can read and whrite,Read Write
Do boath,Read Write
Cannot read and or write,Illiterate
Read an wrte,Read Write
He can r write,Read Write
Cannot read g a,Illiterate
Write red,Read Write
Reid and wrtie,Read Write
Wreade and write,Read Write
Read n write,Read Write
Right,Write
Cannot read ?,Illiterate
Can't read or rite,Illiterate
Cannot read or write no,Illiterate
Raead and write,Read Write
Read wrie,Read Write
Scholar Read and write,Read Write
Yes r and write,Read Write
Sceller,Read Write
Cannot redd or,Illiterate
Canno read or write,Illiterate
Thoroughly Educated,Read Write
Cannot readd,Illiterate
Cant nor read,Illiterate
Cant red nor write,Illiterate
R and w write,Read Write
Nether read nor write,Illiterate
Read only going to school,Read Write
Read and rirte,Read Write
Read and cant write,Read
We all Can read and write sing,Read Write
Can read amd write,Read Write
Not Read and write,Illiterate
Read and write going to school,Read Write
Can not red,Illiterate
Both Can read and write,Read Write
Read not right,Read
Canott read and write,Illiterate
Cannot re write,Illiterate
Reads wrtte,Read Write
Can read wt,Read Write
Read and write no,Read Write
Cannot redd or write,Illiterate
Unable read and write,Illiterate
No scholars,Illiterate
Canntt read,Illiterate
Connot rd,Illiterate
Cant r rite,Illiterate
Not and write,Illiterate
Can read an w,Read Write
Shoole,Read Write
Read at school,Read Write
C n r n write,Read Write
Cannot write but can read,Read
Rread only,Read
Both can rd and write,Read Write
Read wrights,Read Write
Learning to read,Read Write
Not not read,Illiterate
Cannot read wre,Illiterate
Can't read or w,Illiterate
Neither infant,Illiterate
Cannot read Cannot write,Illiterate
Wright read,Read Write
Can read a wri,Read Write
Canot r or rite,Illiterate
Read not writ,Read
Can reed and wr,Read Write
Read wriet,Read Write
Cannot rite cannot read,Illiterate
Not reed or rite,Illiterate
Dont write,Read
Cannot write or,Illiterate
Now,Illiterate
Neither of them,Illiterate
Cannot wrte,Read
Reed and w,Read Write
Child cannot read,Illiterate
Dosent read or write,Illiterate
Spelling,Unknown
Cannot read-write,Illiterate
Can reed an write,Read Write
Can read c write,Read Write
Read with,Read Write
C r or write,Read Write
Riad rite,Read Write
Read and write can write,Read Write
Neither r and w,Illiterate
Reid a write,Read Write
Read and witte,Read Write
Can read or w,Read Write
Can read W,Read Write
Read e write,Read Write
Cant rede,Illiterate
Cant reed nor write,Illiterate
He can reed write,Read Write
Read not w,Read
Cannot raad,Illiterate
Not read or,Illiterate
Cont read,Illiterate
Rd and wr,Read Write
Write and reaid,Read Write
Can rea write,Read Write
Can reed and right,Read Write
Cant re w,Illiterate
Cannot read n w,Illiterate
Canot Read,Illiterate
Read and write i and e,Read Write
Goeing to school,Read Write
A Little,Read Write
Can re and write,Read Write
Rear write,Read Write
Rd and wrt,Read Write
Read write and et,Read Write
Neather cannot read or write,Illiterate
Cannot read neather,Illiterate
Cannot read nor wirte,Illiterate
Either,Read Write
Ileterate,Illiterate
Can and read write,Read Write
Unable to read and write,Illiterate
Read an,Read Write
Cane read and write,Read Write
Rd only,Read
Canot red rit,Illiterate
Reading read and write,Read Write
Can read a little,Read
Can read an,Read
Cannot ?,Illiterate
Not Read or Write,Illiterate
Can reed and writ,Read Write
Choolers,Read Write
Cannot read or W,Illiterate
Can read neither,Illiterate
Cant r or r,Illiterate
Canot and read,Illiterate
Neither read rite,Illiterate
Rrad write,Read Write
Neither read nor w,Illiterate
Cannot reade or rite,Illiterate
Read and ride,Read Write
Can and rite,Read Write
Not write nor read,Illiterate
Can read can't write,Read
Cannot read or cannot write,Illiterate
Can and write and read,Read Write
Learning to read and write,Read Write
R and,Read Write
Cannot read ro write,Illiterate
English can read and wright,Read Write
Yes pass,Read Write
Reead,Read
Can rea rite,Read Write
First Class,Read Write
Yes Cannot read,Illiterate
Can reade rite,Read Write
Cannot w,Illiterate
Can read no,Read
All the above,Read Write
Canot read only,Illiterate
C read and wrt,Read Write
Reed rit,Read Write
Can't Read or write,Illiterate
Scholar r w,Read Write
Annot read,Illiterate
Does write,Read Write
Not red nor write,Illiterate
Cant read or wri,Illiterate
Not read or right,Illiterate
Cannot read not w,Illiterate
Bit of both,Read Write
Read cannot read,Read
Scoller can read only,Read
Beginning,Read Write
Ra and write,Read Write
No edcation,Illiterate
Cant read wite,Illiterate
Cannot r or wri,Illiterate
Cannot read in write,Illiterate
Reaid,Read
Not read or wrte,Illiterate
All,Read Write
Cant or read,Illiterate
Can reed and w,Read Write
Can doo neither,Illiterate
Read wrote,Read Write
Not able to read on write,Illiterate
Don read,Illiterate
Cannot r nor rite,Illiterate
Road and write,Read Write
Re and w,Read Write
Can r rite,Read Write
Nuster,Illiterate
Not attending school,Illiterate
English reed write,Read Write
Canot r and w,Illiterate
Cannot Read nor write,Illiterate
Read cannt write,Read
Read nly,Read
Can read and writt,Read Write
Fare,Read Write
Cannot read or rt,Illiterate
Only write,Write
Reed and righ,Read Write
Wread an write,Read Write
Read and write good,Read Write
Cannot r cannot w,Illiterate
Cannot writh nor read,Illiterate
Can red and writ,Read Write
? Read and write,Read Write
No Cannot read or write,Illiterate
Beaby,Illiterate
Neather cannot read,Illiterate
Not available,Unknown
Infaint,Illiterate
Canot re or w,Illiterate
Cand read,Illiterate
Cant read or r,Illiterate
Beginning at school,Read Write
The can read and write,Read Write
Connat read,Illiterate
Do not know,Unknown
Not write read,Illiterate
Cannot r or wright,Illiterate
Can read or,Read Write
Scholuar,Read Write
W read and wrght,Read Write
Cannot read or rigt,Illiterate
Cannot read nor and write,Illiterate
R writh,Read Write
Cannot reed and write,Illiterate
Read s write,Read Write
read write,Read Write
Scholar read only,Read
Can write red,Read Write
B r write,Read Write
Canot reat,Illiterate
R wr,Read Write
Not read and writ,Illiterate
Cannot r or wirte,Illiterate
Reade and rites,Read Write
Cannot read and cannot write,Illiterate
At school read and write,Read Write
Cannot read no scholar,Illiterate
Like,Read Write
Can r and wrigt,Read Write
Illitterate,Illiterate
Read wrig,Read Write
Read only not write,Read
Can r and wrte,Read Write
Schoole,Read Write
Reall and write,Read Write
Writ and write,Read Write
Read Right,Read Write
Reid wright,Read Write
No r or w,Illiterate
Canot read not write,Illiterate
Schalor,Read Write
Cannot r or wrte,Illiterate
Cannot read write only,Illiterate
Commencery School,Read Write
Not Attendy School,Illiterate
Cannt r or w,Illiterate
Cant rite read,Illiterate
Cannot right or read,Illiterate
Cannot read or writes,Illiterate
Read and Only,Read Write
Can rd or write,Read Write
Yes can read,Read Write
Cannot rid,Illiterate
Read and worte,Read Write
Yes read and r,Read Write
Can reade only,Read
R an write,Read Write
Cant r cant w,Illiterate
Cannot r or wrigt,Illiterate
Blind,Illiterate
Wride and rite,Read Write
Reid onely,Read
Scholars r and writer,Read Write
Not able to read or rite,Illiterate
Can read and righ,Read Write
Not Attending School,Illiterate
Can raid and write,Read Write
Can read and write scholar,Read Write
Infint,Illiterate
Cannot r n write,Illiterate
Read onaly,Read
at School,Read Write
Yes write and read,Read Write
Can read and about write,Read Write
Canot or r write,Illiterate
Cant r,Illiterate
Read and write Scholars,Read Write
Reed and rit,Read Write
Un educated,Illiterate
Read qonly,Read
Cannot r or,Illiterate
Cant Read nor write,Illiterate
Cannote,Illiterate
Can do read and write,Read Write
Not write not read,Illiterate
Read rite scholl,Read Write
Cannit,Illiterate
Read and riter,Read Write
Cannot yet read,Illiterate
Can read or writ,Read Write
Cane read,Read
R and wte,Read Write
Read only scholars,Read
Yes a little,Read Write
He can not read,Illiterate
Cannot not write,Read
Read and wrigth,Read Write
Neither read or wright,Illiterate
B a read and write,Read Write
Not reade or write,Illiterate
Cant red and write,Illiterate
Nether read or rite,Illiterate
Can rd and wright,Read Write
Cant read wright,Illiterate
Read and reite,Read Write
Reads and wrigtts,Read Write
Read a,Read Write
Canot read are write,Illiterate
Unable to ascertain,Unknown
Canot read or r,Illiterate
Cant read right,Illiterate
Joinging to school,Read Write
Not r and w,Illiterate
Not read no write,Illiterate
Can read and wight,Read Write
Cannot read going to school,Illiterate
Cnot read n write,Illiterate
Scholare,Read Write
Neithe read or write,Illiterate
Raed and write,Read Write
And write,Read Write
Cannott red,Illiterate
Read and write well,Read Write
Cannot wr,Read
Can Read and W,Read
Canot reid or write,Illiterate
Cant not read write,Illiterate
Cannot read cant read or write,Illiterate
C not red,Illiterate
Cannott write,Read
Fair write,Read Write
Both write or red,Read Write
Can read not w,Read
C'not r or w,Illiterate
Ride and wright,Read Write
Can reed wrte,Read Write
N education,Illiterate
He can,Read Write
No child,Illiterate
Cannot nor read,Illiterate
Canot reed or rite,Illiterate
Cannot write or r,Illiterate
Not read nor writ,Illiterate
Unascertained,Unknown
Read and wright a latter,Read Write
Cant r nor w,Illiterate
Scholar read write,Read Write
At schoole,Read Write
Read and can write,Read Write
S can read write,Read Write
Scholars going to school,Read Write
Can read Only,Read
Read and write station,Read Write
He and she,Read Write
Read an wri,Read Write
No Learning,Illiterate
C read rite,Read Write
Not rd,Illiterate
Read and orte,Read Write
Cannot or rite,Illiterate
Cannot read or write Neither,Illiterate
Cannot not read write,Illiterate
Reand only,Read
Read wreite,Read Write
No cant read,Illiterate
cannot read or write,Illiterate
Co read and write,Read Write
Can read oly,Read
Cannot r o write,Illiterate
Goinging to school,Read Write
Bead and write,Read Write
Educator,Read Write
Read writt,Read Write
Canot write read,Illiterate
Red and Write,Read Write
Cant reed and write,Illiterate
R Fair W,Read Write
Cant red or wt,Illiterate
Can't,Illiterate
Can red and wr,Read Write
C reed,Read
Read Cannot write,Read
Not yet attending school,Illiterate
Rade and wright,Read Write
Not w or write,Illiterate
Can neighter read nor write,Illiterate
Cannot read and write neither,Illiterate
Can read cannot rite,Read
Can read cant w,Read
She can read and w,Read Write
Yes read only,Read
Rede right,Read Write
Cat read or write,Illiterate
Reed wite,Read Write
All read rite,Read Write
Can rede,Read
Able to do both,Read Write
Do not known,Unknown
Baby cannot read,Illiterate
Cannot reid rite,Illiterate
R and w and write,Read Write
Ready only,Read
R d w,Read Write
Can writ,Read Write
Read and rt,Read Write
Read ritte,Read Write
Neither r nor r,Illiterate
No scolar,Illiterate
Canot reed write,Illiterate
Cannot reed write,Illiterate
Cannt reed,Illiterate
Cannot read nor rit,Illiterate
I have education,Read Write
Reaed and rite,Read Write
Write and red,Read Write
Reed a little,Read
No socholar,Illiterate
Rea and wright,Read Write
Rd and wright,Read Write
Read and write english and irish,Read Write
School child,Read Write
Red or rite,Read Write
Cnnot read or write,Illiterate
Cannot read non,Illiterate
Cane read write,Illiterate
Cannot reaad,Illiterate
Canot not read or write,Illiterate
Canot riad,Illiterate
Camot read,Illiterate
Connot Read or write,Illiterate
Read and write irish,Read Write
Cannot read nor wt,Illiterate
Yes Yes,Read Write
Both can read write,Read Write
Not and read or write,Illiterate
Pupil,Read Write
Cannot read or write none,Illiterate
Rd and we,Read Write
Riad and rite,Read Write
Reed a rite,Read Write
cannot read,Illiterate
Reaid only,Read
Cannot reed are wright,Illiterate
Donte read or write,Illiterate
Cant rd or wt,Illiterate
Read and write Good,Read Write
Not Known,Unknown
Cant reat,Illiterate
Cannot rd and wr,Illiterate
Cannot w r,Illiterate
Able to read,Read
Read at rite,Read Write
Read on,Read
C red c write,Read Write
Can read at school,Read
Read rite english,Read Write
Red an write,Read Write
Can not wreade write,Illiterate
Readd write,Read Write
She can r and w,Read Write
C read a rite,Read Write
Read and write in italian,Read Write
Red wite,Read Write
Cant read and wright,Illiterate
Cannot and c,Illiterate
Cannt,Illiterate
Non cannot read,Illiterate
Attg school,Read Write
Not at chool,Illiterate
Read write only,Read Write
Good can read and write,Read Write
Both E and Irish,Read Write
Reade right,Read Write
Read or write none,Illiterate
Formerly read and write,Read Write
Cannot read or and write,Illiterate
Cant reade or write,Illiterate
Meather,Illiterate
Illetrite,Illiterate
Not old Enough,Illiterate
Can read and wrig,Read Write
Read in right,Read Write
Read and et,Read Write
Read a wrigh,Read Write
All Round,Read Write
Niether read or write,Illiterate
Can read etc,Read
Read a writ,Read Write
Cannot and,Illiterate
No schlor,Illiterate
Read sc write,Read Write
N read n write,Illiterate
She can write,Write
Not education,Illiterate
Can read and write english,Read Write
Cant read and wr,Illiterate
Not reat,Illiterate
Canot read canot write,Illiterate
Cannot rad nor write,Illiterate
Read some,Read
Not read a write,Illiterate
Boths read and write,Read Write
Neigher,Illiterate
Read and write g a,Read Write
Reed not,Read
Cant rd or rite,Illiterate
Read ar write,Read Write
Cannot read not read nor write,Illiterate
Can both read and rite,Read Write
Going to scool,Read Write
Canot reed nor write,Illiterate
Young,Illiterate
Illirate,Illiterate
Read but not rite,Read
And read,Read
Reid and wrigte,Read Write
Rean and write,Read Write
Rea rite,Read Write
Read onlly,Read
C read a right,Read Write
Read and write (a little),Read Write
Cant reade nor write,Illiterate
Not read no riht,Illiterate
Read r t,Read Write
Cant rd and write,Illiterate
Read and rite both,Read Write
Shool,Read Write
Read and wrtes,Read Write
Both read and wri,Read Write
Canot read no write,Illiterate
Cannott read or w,Illiterate
Neither reads nor writes,Illiterate
Read litle,Read
All can reade and write,Read Write
Not w read,Read
Can read and wrirte,Read Write
Can read and write neither,Illiterate
Read and wret,Read Write
Not or write,Illiterate
Cannot red or W,Illiterate
Read and wife,Read Write
No learning,Read Write
Cannot read illeterate,Illiterate
Canot Read or write,Illiterate
Not read or wt,Illiterate
R canot,Illiterate
Cant read cannot write,Illiterate
C r or w,Illiterate
Cant read writ,Illiterate
Read o,Read
Not read or r,Illiterate
Can do both read and write,Read Write
First book,Read Write
Read onle,Read
Reed not write,Read
Can red and right,Read Write
Neather read write,Illiterate
Able read and write,Read Write
None of them,Illiterate
Read and cannot,Read
Read and wriet,Read Write
Non read,Illiterate
Not of age,Illiterate
Do not read and write,Illiterate
Bothe read and write,Read Write
Scoolar,Read Write
Cant read and c,Illiterate
Cant read and w,Illiterate
Can riad,Read
Read nor right,Illiterate
Caannot read or write,Illiterate
Can read and wre,Read Write
Sollor,Read Write
Read and wrrite,Read Write
Canot read or wite,Illiterate
Cannot r nor r,Illiterate
Ct read,Illiterate
Canot read nor wright,Illiterate
Can read and write can do both,Read Write
Read can't write,Read
Reid an wright,Read Write
Read ?,Read
Can reid only,Read
Can reid rite,Read Write
R cannot,Read
Booth read and write,Read Write
C read wrte,Read Write
Cant read and right,Illiterate
C r w,Read Write
Cant reid not write,Illiterate
Read only scholar,Read
Read w write,Read Write
